id,nama_ekspedisi,nomor_penjelajahan,banyak_siklus,total_jarak_tempuh,wilayah_eksplorasi,jenis_medan,orientasi_rute,total_jarak_tempuh_satu_siklus,banyak_titik_navigasi,radius_planet_penjelajahan,koordinat_X_lapangan,koordinat_Y_lapangan,koordinat_Z_lapangan,planet_eksplorasi,sektor_planet_eksplorasi,nama_penjelajah,umur_biometrik_penjelajah,planet_lahir,sektor_planet_lahir,planet_kewarganegaraan,sektor_kewarganegaraan,tim_penjelajah,planet_tim_penjelajah,sektor_tim_penjelajah,tim_mesin,planet_tim_mesin,cluster_tim_mesin,waktu_simulasi_alpha,siklus_simulasi_alpha,waktu_simulasi_beta,siklus_simulasi_beta,waktu_simulasi_gamma,siklus_simulasi_gamma,waktu_uji_lingkungan_A,waktu_uji_lingkungan_B,waktu_uji_lingkungan_C,total_siklus_uji,delay_peluncuran,offset_delay_peluncuran,urutan_awal_sebelum_delay,urutan_peluncuran_akhir,siklus_demonstrasi_lapangan,waktu_demonstrasi_lapangan,waktu_kalibrasi_lapangan_A,waktu_kalibrasi_lapangan_B,waktu_kalibrasi_lapangan_C,siklus_kalibrasi_lapangan,durasi_misi_diselesaikan,jumlah_isi_bensin_selama_misi,peringkat_durasi_misi_tercepat,penghargaan_misi
1,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Leonardo da Vinci,1658.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Aetherion Initiative,Crimson Verge,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,1:10:14.105,374,1:09:21.081,396,1:08:16.303,352,1:08:29.987,1:07:49.041,1:07:56.830,308,,,1.0,1.0,,,,,,,54d 13:55:29.128,1.0,4.0,Bronze
2,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Isaac Newton,2110.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Solaris Vanguard,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:09:42.376,418,1:09:24.511,660,1:08:19.626,308,1:08:40.135,1:08:05.048,1:08:01.868,352,,,2.0,2.0,,,,,,,54d 08:58:05.566,1.0,2.0,Silver
3,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Nikola Tesla,2091.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:09:32.050,396,1:09:45.413,550,1:07:56.758,308,1:08:15.088,1:07:59.367,1:08:14.945,440,,,3.0,3.0,,,,,,,54d 05:27:10.792,1.0,1.0,Gold
4,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Albert Einstein,1839.0,Andros,Central Celestial Belt,Andros,Central Celestial Belt,Orion Dynamics,Andros,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,1:09:46.235,418,1:08:59.465,484,1:08:59.679,176,1:08:41.135,1:08:18.482,1:08:36.705,418,,,4.0,4.0,,,,,,,54d 10:30:53.238,1.0,3.0,Silver
5,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Charles Darwin,1805.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,1:09:47.521,330,1:08:43.565,506,1:08:06.370,286,1:08:45.494,1:08:17.589,1:08:37.562,286,,,5.0,5.0,,,,,,,54d 14:14:00.634,1.0,5.0,Bronze
6,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Julius Caesar,2450.0,Auralis,Southern Star Cluster,Auralis,Southern Star Cluster,Aetherion Initiative,Crimson Verge,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,1:09:49.522,374,1:11:43.465,264,1:08:11.086,330,1:08:39.599,1:08:04.583,1:08:39.099,286,,,6.0,6.0,,,,,,,54d 15:34:32.538,1.0,8.0,Bronze
7,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Napoleon Bonaparte,3009.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,1:10:04.064,352,1:09:01.215,506,1:08:12.265,286,1:08:50.139,1:08:32.703,1:08:47.674,330,,,7.0,7.0,,,,,,,54d 15:05:45.560,1.0,6.0,Bronze
8,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Benjamin Franklin,2202.0,Andros,Central Celestial Belt,Andros,Central Celestial Belt,Orion Dynamics,Andros,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,1:09:42.841,418,1:09:07.397,616,1:08:28.951,308,1:08:54.498,1:08:34.954,1:08:52.962,374,,,8.0,8.0,,,,,,,54d 15:20:23.602,1.0,7.0,Bronze
9,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Archimedes,1846.0,Draconis,Central Celestial Belt,Draconis,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,1:09:41.876,418,1:10:21.679,638,1:08:40.778,330,1:08:47.209,1:08:27.629,1:09:00.572,374,,,9.0,9.0,,,,,,,54d 20:32:22.038,1.0,11.0,Merit
10,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Johannes Kepler,1985.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Aurora Division,Astralis,Galactic East Sector,Lunaris Command,Titanis,Central Celestial Belt,1:09:25.512,396,1:09:53.310,638,1:08:47.567,286,1:08:36.562,1:08:28.808,1:09:15.722,352,,,10.0,10.0,,,,,,,54d 23:34:00.772,1.0,12.0,Merit
